created_at,Place,text,lang
2018-03-19 18:03:01,,b'\xf0\x9f\x98\x82\xf0\x9f\x93\xb8 @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo \n\nhttps://t.co/fv5JmcRgz4',en
2018-03-19 17:30:08,,"b""\xf0\x9f\x8e\xa4Pop band @FifthHarmony have announced they're taking a break to pursue solo careers \xf0\x9f\x8e\xb6https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6""",en
2018-03-19 17:00:05,,"b'Murder. Innocence. Lies. \n\n@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.\nhttps://t.co/qfJThHowXC'",en
2018-03-19 16:33:29,,b'Here are the latest snow scenes from around the UK. \xe2\x9d\x84\xef\xb8\x8f\xf0\x9f\x93\xb8 https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C',en
2018-03-19 15:02:02,,"b""'Flabbergasted'. \xf0\x9f\x8e\xb6This is the incredible moment when eight London teenagers heard a live opera singer for the first\xe2\x80\xa6 https://t.co/jNki4Z61SE""",en
2018-03-19 14:30:08,,b'Meet the dancing slum kids tipped for stardom by Rihanna \xf0\x9f\x8e\xb6\nhttps://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ',en
2018-03-19 13:44:55,,"b""RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! \xf0\x9f\x99\x8c \n\nYesterday we did an amazing 431 million steps \xe2\x80\x93 can we do even better\xe2\x80\xa6""",en
2018-03-19 13:03:04,,"b'\xf0\x9f\x92\xad ""There\'s always that voice in the back of your head that says you\'re not good enough"". \n\n \xf0\x9f\x92\xaa @CarrieHFletcher on b\xe2\x80\xa6 https://t.co/0AsBxFFiQA'",en
2018-03-19 12:55:17,,b'RT @BBCRadioScot: This must have been some buzz! \xf0\x9f\x90\x9d\xf0\x9f\x90\x9d\xf0\x9f\x90\x9d https://t.co/0gqtbQBN1i',en
2018-03-19 12:30:05,,"b""Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX""",en
2018-03-19 11:50:58,,b'RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz',en
2018-03-19 11:33:04,,b'Have you got a passion for plants? \xf0\x9f\x8c\xbf\xf0\x9f\x8c\xb8\xf0\x9f\x8c\xb1\xf0\x9f\x8d\x83\xf0\x9f\x8c\xb7\n\nTest your knowledge of all things foliage in this quiz. \xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/evogV5ljAc',en
2018-03-19 10:53:19,,"b""RT @BBCSport: \xf0\x9f\x8e\x89 The Commonwealth Games are almost upon us! \xf0\x9f\x8e\x89\n\nScotland's Lynsey Sharp has given us the inside track on preparing for succes\xe2\x80\xa6""",en
2018-03-19 10:33:03,,b'The oldest dog that the Dogs Trust has ever looked after has been given a new home. \xe2\x9d\xa4\xef\xb8\x8f\xef\xb8\x8f\xf0\x9f\x90\xb6https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj',en
2018-03-19 09:58:24,,b'RT @BBCR1: Desperately searching for any signs of spring like... \xf0\x9f\x8c\xb8\n\n#MondayMotivation https://t.co/9jo3h4C7bu',en
2018-03-19 09:58:15,,b'RT @BBCRadioWales: \xe2\x9d\x84\xef\xb8\x8f Snowy Cardiff! \xe2\x9b\x84\xef\xb8\x8f \n\nWhat\xe2\x80\x99s it like for you?\n\n#ButePark \n#Cardiff \n#MiniBeast\n#Snow https://t.co/O8gY1qjHVE',en
2018-03-19 09:58:10,,"b'RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP'",en
2018-03-19 09:57:58,,"b""RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on\xe2\x80\xa6""",en
2018-03-19 09:32:02,,"b""'Who wants a normal life?' We should all be a little more like @chessmartinez. \xf0\x9f\x91\x8f\xf0\x9f\x92\x96 #LiveAtTheApollo\n\nhttps://t.co/VddL8zWJfS""",en
2018-03-19 09:27:50,,"b'RT @BBCWthrWatchers: Some incredible photos sent in last night of the #Auroraborealis from Skye Woody, Cumbrian stargazer and DJStewie.  Di\xe2\x80\xa6'",en
2018-03-19 08:45:02,,b'Beautiful spring blossom in south-west China has been captured by drone https://t.co/WTo7JjiKXw',en
2018-03-19 08:02:00,,b'\xf0\x9f\xa4\x94 Should we still be worried about the hole in the ozone layer?\n\n\xf0\x9f\x8c\xa4 @SimonOKing and @clarenasir investigate in their\xe2\x80\xa6 https://t.co/SZV3Df9y0t',en
2018-03-18 20:30:11,,"b'\xf0\x9f\x8f\x83\xf0\x9f\x92\xaa @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f\xe2\x80\xa6 https://t.co/B1rXaalmk2'",en
2018-03-18 20:03:04,,"b""\xf0\x9f\x91\x8e\xf0\x9f\x92\x8c Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing\xe2\x80\xa6 https://t.co/ojtDZ3gMfb""",en
2018-03-18 19:33:04,,"b'Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.\xe2\x80\xa6 https://t.co/NtHAfh6cjZ'",en
2018-03-18 18:44:02,,b'Ruth Ellis was only 28 when she became the last woman hanged to death in the UK. \n\n#TheRuthEllisFiles | Watch on\xe2\x80\xa6 https://t.co/5kUIFtom7t',en
2018-03-18 18:34:14,,b'RT @BBC_TopGear: 840bhp goes a little like this\xe2\x80\xa6\n\n@Matt_LeBlanc takes the Dodge Challenger SRT #Demon to the drag strip in this Sunday\xe2\x80\x99s @T\xe2\x80\xa6',en
2018-03-18 17:18:12,,"b""RT @bbcthree: Be honest, do you think you'll be this fit at 81? https://t.co/Eca0uGCF6b""",en
2018-03-18 17:04:03,,"b""\xf0\x9f\x8d\x8e\xf0\x9f\x97\x91 How much food do you throw away? If you're a typical Brit, you probably think it's hardly any.\n\nYou're in denial\xe2\x80\xa6 https://t.co/0bSCbRrZJr""",en
2018-03-18 16:33:17,,b'\xe2\x9d\xa4\xef\xb8\x8f\xef\xb8\x8f\xf0\x9f\x93\xb8Zun Lee wants his photography to give a balanced and nuanced portrayal of black fatherhood.\n\n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/LodRrr27fd',en
2018-03-18 15:41:04,,b'\xf0\x9f\xa4\xb0 A doctor explains why you can get pregnant and give birth without having a baby bump. \n\xf0\x9f\x91\x89 https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL',en
